選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year,年俸(万円),守備,年数,年齢,生年月日,身長,体重,血液型,投打,出身地,外国出身
今成　亮太,阪神,0.292,60.0,103.0,96.0,28.0,0.0,4.0,0.0,6.0,0.0,19.0,1.0,4.0,0.333,0.323,0.656,3.49,3.29,2012.0,620,捕手,7,25,1987/10/06,178cm,80kg,O型,右左,埼玉,False
嶋　基宏,楽天,0.291,91.0,316.0,265.0,77.0,1.0,8.0,3.0,33.0,4.0,51.0,13.0,5.0,0.376,0.332,0.708,4.53,4.47,2012.0,6000,捕手,6,28,1984/12/13,179cm,82kg,A型,右右,岐阜,False
稲葉　篤紀,日本ハム,0.29,127.0,497.0,449.0,130.0,10.0,61.0,0.0,32.0,5.0,70.0,8.0,3.0,0.342,0.421,0.762,5.38,5.22,2012.0,20000,外野手,18,40,1972/08/03,185cm,94kg,O型,左左,愛知,False
栗山　巧,西武,0.289,103.0,467.0,394.0,114.0,2.0,33.0,3.0,52.0,6.0,62.0,12.0,4.0,0.378,0.353,0.731,5.28,5.18,2012.0,20000,外野手,11,29,1983/09/03,177cm,85kg,O型,右左,兵庫,False
西村　弥,楽天,0.289,82.0,42.0,38.0,11.0,0.0,5.0,0.0,2.0,0.0,11.0,1.0,0.0,0.317,0.474,0.791,4.03,3.92,2012.0,1200,内野手,7,29,1983/09/08,177cm,75kg,A型,右両,沖縄,False
陽　岱鋼,日本ハム,0.287,144.0,599.0,533.0,153.0,7.0,55.0,17.0,37.0,6.0,123.0,18.0,10.0,0.337,0.398,0.735,4.7,4.59,2012.0,4600,外野手,7,25,1987/01/17,183cm,83kg,A型,右右,台湾,True
松井　淳,ヤクルト,0.287,46.0,150.0,143.0,41.0,5.0,15.0,1.0,6.0,1.0,26.0,0.0,5.0,0.32,0.462,0.782,4.79,4.6,2012.0,760,外野手,3,25,1987/11/27,176cm,88kg,O型,右左,神奈川,False
李　大浩,オリックス,0.286,144.0,601.0,525.0,150.0,24.0,91.0,0.0,64.0,7.0,85.0,0.0,18.0,0.368,0.478,0.846,5.99,5.95,2012.0,25000,内野手,1,30,1982/06/21,194cm,130kg,不明,右右,韓国,True
オーティズ,西武,0.286,64.0,214.0,199.0,57.0,9.0,21.0,0.0,14.0,1.0,38.0,0.0,8.0,0.336,0.462,0.799,5.0,4.91,2012.0,25000,内野手,8,35,1977/06/13,177cm,80kg,不明,右右,ドミニカ共和国,True
和田　一浩,中日,0.285,144.0,586.0,508.0,145.0,9.0,63.0,2.0,71.0,1.0,72.0,0.0,14.0,0.37,0.409,0.78,5.57,5.47,2012.0,33000,外野手,16,40,1972/06/19,182cm,90kg,O型,右右,岐阜,False
石川　雄洋,DeNA,0.285,80.0,304.0,263.0,75.0,1.0,14.0,7.0,24.0,3.0,49.0,13.0,3.0,0.351,0.342,0.693,4.21,4.11,2012.0,5700,内野手,8,26,1986/07/10,183cm,78kg,O型,右左,静岡,False
井端　弘和,中日,0.284,140.0,553.0,489.0,139.0,2.0,35.0,4.0,52.0,3.0,58.0,8.0,14.0,0.356,0.331,0.687,4.18,4.06,2012.0,17000,内野手,15,37,1975/05/12,173cm,75kg,B型,右右,神奈川,False
堂上　剛裕,中日,0.282,85.0,166.0,156.0,44.0,4.0,17.0,1.0,8.0,0.0,36.0,1.0,4.0,0.315,0.41,0.725,4.3,4.19,2012.0,2400,外野手,9,27,1985/05/27,183cm,85kg,O型,右左,愛知,False
清田　育宏,ロッテ,0.281,87.0,292.0,253.0,71.0,3.0,29.0,5.0,34.0,0.0,46.0,3.0,5.0,0.363,0.391,0.755,5.0,4.9,2012.0,2600,外野手,3,26,1986/02/11,180cm,85kg,A型,右右,千葉,False
ペーニャ,ソフトバンク,0.28,130.0,507.0,461.0,129.0,21.0,76.0,2.0,35.0,8.0,130.0,0.0,11.0,0.339,0.49,0.829,5.8,5.68,2012.0,14000,外野手,1,30,1982/01/23,191cm,118kg,不明,右右,ドミニカ共和国,True
銀次,楽天,0.28,126.0,485.0,432.0,121.0,4.0,45.0,8.0,22.0,4.0,37.0,23.0,4.0,0.318,0.354,0.672,3.98,3.94,2012.0,720,内野手,7,24,1988/02/24,174cm,85kg,A型,右左,岩手,False
Ｔ−岡田,オリックス,0.28,103.0,404.0,378.0,106.0,10.0,56.0,4.0,22.0,4.0,81.0,0.0,5.0,0.327,0.418,0.745,4.87,4.7,2012.0,7800,外野手,7,24,1988/02/09,186cm,100kg,B型,左左,大阪,False
新井　良太,阪神,0.28,110.0,370.0,322.0,90.0,11.0,32.0,1.0,38.0,6.0,73.0,3.0,7.0,0.365,0.438,0.803,5.77,5.65,2012.0,1200,内野手,7,29,1983/08/16,188cm,96kg,AB型,右右,広島,False
雄平,ヤクルト,0.28,47.0,153.0,143.0,40.0,0.0,8.0,2.0,7.0,0.0,19.0,3.0,0.0,0.313,0.308,0.621,3.4,3.31,2012.0,1350,外野手,10,28,1984/06/25,175cm,82kg,A型,左左,神奈川,False
根元　俊一,ロッテ,0.279,133.0,584.0,512.0,143.0,9.0,41.0,6.0,31.0,1.0,98.0,40.0,7.0,0.322,0.396,0.718,4.16,4.01,2012.0,2230,内野手,7,29,1983/07/08,177cm,77kg,A型,右左,東京都,True
長谷川　勇也,ソフトバンク,0.278,126.0,473.0,403.0,112.0,4.0,37.0,16.0,40.0,9.0,87.0,16.0,4.0,0.352,0.36,0.712,4.77,4.76,2012.0,7200,外野手,6,28,1984/12/22,180cm,84kg,AB型,右左,山形,False
三輪　正義,ヤクルト,0.276,65.0,39.0,29.0,8.0,0.0,0.0,6.0,2.0,0.0,5.0,8.0,0.0,0.323,0.31,0.633,3.78,3.65,2012.0,900,内野手,5,28,1984/01/23,168cm,68kg,A型,右左,山口,False
田中　浩康,ヤクルト,0.274,139.0,593.0,486.0,133.0,2.0,40.0,1.0,54.0,9.0,60.0,40.0,15.0,0.354,0.323,0.677,3.89,3.86,2012.0,9800,内野手,8,30,1982/05/24,177cm,77kg,O型,右右,京都,False
中村　紀洋,DeNA,0.274,126.0,500.0,442.0,121.0,11.0,61.0,1.0,50.0,2.0,72.0,0.0,14.0,0.346,0.407,0.753,4.86,4.87,2012.0,1500,内野手,20,39,1973/07/24,180cm,93kg,O型,右右,大阪,False
鈴木　大地,ロッテ,0.274,62.0,160.0,135.0,37.0,0.0,11.0,0.0,13.0,1.0,23.0,10.0,1.0,0.34,0.326,0.666,4.07,4.0,2012.0,1300,内野手,1,23,1989/08/18,175cm,79kg,O型,右左,静岡,False
比屋根　渉,ヤクルト,0.273,43.0,51.0,44.0,12.0,0.0,2.0,11.0,3.0,1.0,1.0,2.0,1.0,0.327,0.273,0.599,3.28,3.54,2012.0,1000,外野手,1,25,1987/06/20,180cm,69kg,O型,右右,沖縄,False
バレンティン,ヤクルト,0.272,106.0,422.0,353.0,96.0,31.0,81.0,1.0,64.0,3.0,92.0,0.0,14.0,0.386,0.572,0.958,7.34,7.35,2012.0,7500,外野手,2,28,1984/07/02,185cm,100kg,O型,右右,アンティル,True
小田　幸平,中日,0.271,35.0,54.0,48.0,13.0,0.0,4.0,0.0,2.0,0.0,12.0,4.0,0.0,0.3,0.313,0.613,3.28,3.07,2012.0,3600,捕手,15,35,1977/03/15,180cm,84kg,A型,右右,兵庫,False
聖澤　諒,楽天,0.27,138.0,595.0,523.0,141.0,4.0,45.0,54.0,49.0,7.0,104.0,12.0,4.0,0.338,0.331,0.669,4.55,4.54,2012.0,6500,外野手,5,27,1985/11/03,179cm,72kg,B型,右左,長野,False
ヘルマン,西武,0.27,144.0,583.0,507.0,137.0,3.0,60.0,41.0,57.0,4.0,75.0,10.0,20.0,0.346,0.343,0.689,4.06,4.05,2012.0,5600,内野手,1,34,1978/01/26,175cm,88kg,不明,右右,ドミニカ共和国,True
熊代　聖人,西武,0.27,109.0,133.0,115.0,31.0,0.0,6.0,2.0,3.0,2.0,30.0,12.0,1.0,0.298,0.287,0.584,2.81,2.83,2012.0,1100,外野手,2,23,1989/04/18,175cm,72kg,O型,右両,愛媛,False
大崎　雄太朗,西武,0.269,107.0,298.0,260.0,70.0,1.0,22.0,1.0,17.0,7.0,27.0,10.0,4.0,0.326,0.346,0.673,4.06,4.04,2012.0,1500,外野手,6,28,1984/10/18,169cm,76kg,O型,右左,茨城,False
中井　大介,巨人,0.269,16.0,31.0,26.0,7.0,0.0,1.0,1.0,5.0,0.0,7.0,0.0,0.0,0.387,0.346,0.733,6.0,5.9,2012.0,700,内野手,5,23,1989/11/27,182cm,84kg,B型,右右,三重,False
荒波　翔,DeNA,0.268,141.0,550.0,504.0,135.0,1.0,25.0,24.0,23.0,5.0,90.0,16.0,2.0,0.305,0.333,0.639,3.59,3.52,2012.0,1300,外野手,2,26,1986/01/25,178cm,78kg,A型,右左,神奈川,False
岩本　貴裕,広島,0.268,71.0,242.0,239.0,64.0,6.0,27.0,1.0,2.0,0.0,43.0,1.0,5.0,0.274,0.406,0.68,3.63,3.5,2012.0,1600,外野手,4,26,1986/04/18,182cm,90kg,A型,左左,広島,False
宮本　慎也,ヤクルト,0.267,110.0,394.0,356.0,95.0,3.0,23.0,1.0,16.0,5.0,38.0,16.0,9.0,0.307,0.306,0.613,3.08,3.05,2012.0,20000,内野手,18,42,1970/11/05,176cm,70kg,O型,右右,大阪,False
畠山　和洋,ヤクルト,0.266,121.0,497.0,455.0,121.0,13.0,55.0,2.0,37.0,2.0,64.0,1.0,13.0,0.323,0.402,0.725,4.39,4.35,2012.0,9700,内野手,12,30,1982/09/13,180cm,96kg,O型,右右,岩手,False
川端　崇義,オリックス,0.266,125.0,484.0,429.0,114.0,2.0,27.0,6.0,22.0,9.0,59.0,24.0,8.0,0.315,0.317,0.632,3.36,3.25,2012.0,800,外野手,1,27,1985/02/04,176cm,80kg,B型,右右,静岡,False
松井　稼頭央,楽天,0.266,106.0,433.0,402.0,107.0,9.0,43.0,14.0,26.0,1.0,55.0,3.0,6.0,0.312,0.408,0.72,4.58,4.45,2012.0,15000,内野手,12,37,1975/10/23,177cm,85kg,O型,右両,大阪,False
鶴岡　慎也,日本ハム,0.266,116.0,328.0,289.0,77.0,0.0,25.0,3.0,14.0,1.0,41.0,23.0,11.0,0.302,0.308,0.61,2.68,2.61,2012.0,4200,捕手,10,31,1981/04/11,176cm,77kg,A型,右右,鹿児島,False
天谷　宗一郎,広島,0.265,108.0,397.0,359.0,95.0,6.0,25.0,12.0,32.0,3.0,64.0,2.0,3.0,0.329,0.373,0.702,4.33,4.25,2012.0,2500,外野手,11,29,1983/11/08,178cm,83kg,O型,左左,福井,False
野本　圭,中日,0.265,49.0,73.0,68.0,18.0,0.0,5.0,0.0,4.0,1.0,12.0,0.0,0.0,0.315,0.309,0.624,3.77,3.65,2012.0,2400,外野手,4,28,1984/07/07,180cm,81kg,B型,左左,岡山,False
バルディリス,オリックス,0.264,143.0,574.0,503.0,133.0,10.0,55.0,1.0,54.0,14.0,76.0,0.0,13.0,0.35,0.394,0.744,4.9,4.8,2012.0,3500,内野手,5,29,1983/01/05,185cm,90kg,不明,右右,ベネズエラ,True
野口　祥順,ヤクルト,0.263,39.0,46.0,38.0,10.0,0.0,0.0,2.0,3.0,1.0,9.0,4.0,0.0,0.333,0.289,0.623,3.09,3.07,2012.0,1150,内野手,13,31,1981/05/16,185cm,78kg,A型,右右,茨城,False
鳥谷　敬,阪神,0.262,144.0,624.0,515.0,135.0,8.0,59.0,15.0,94.0,2.0,91.0,5.0,12.0,0.373,0.375,0.748,5.28,5.33,2012.0,30000,内野手,9,31,1981/06/26,180cm,77kg,B型,右左,東京都,True
岡田　幸文,ロッテ,0.262,131.0,482.0,431.0,113.0,0.0,18.0,23.0,18.0,6.0,47.0,25.0,4.0,0.3,0.288,0.587,2.82,2.85,2012.0,3200,外野手,4,28,1984/07/06,177cm,70kg,O型,左左,栃木,False
スケールズ,オリックス,0.262,85.0,362.0,305.0,80.0,5.0,23.0,4.0,47.0,8.0,103.0,0.0,3.0,0.373,0.384,0.757,5.6,5.54,2012.0,2000,内野手,2,35,1977/10/04,182cm,86kg,不明,右両,アメリカ,True
エルドレッド,広島,0.262,65.0,251.0,225.0,59.0,11.0,35.0,0.0,20.0,3.0,67.0,0.0,3.0,0.327,0.453,0.78,5.29,5.38,2012.0,1840,内野手,1,32,1980/07/12,196cm,122kg,不明,右右,アメリカ,True
マートン,阪神,0.26,121.0,473.0,453.0,118.0,5.0,38.0,2.0,18.0,1.0,56.0,0.0,14.0,0.29,0.342,0.632,3.01,2.96,2012.0,23400,外野手,3,31,1981/10/03,185cm,99kg,不明,右右,アメリカ,True
金本　知憲,阪神,0.258,126.0,406.0,356.0,92.0,6.0,30.0,3.0,49.0,0.0,54.0,0.0,2.0,0.347,0.36,0.707,4.78,4.74,2012.0,22000,外野手,21,44,1968/04/03,180cm,88kg,O型,右左,広島,False
谷　佳知,巨人,0.258,89.0,255.0,229.0,59.0,3.0,22.0,1.0,14.0,0.0,48.0,11.0,5.0,0.299,0.319,0.618,2.97,2.97,2012.0,8000,外野手,16,39,1973/02/09,173cm,77kg,O型,右右,大阪,False
松本　哲也,巨人,0.258,83.0,229.0,198.0,51.0,0.0,11.0,12.0,17.0,0.0,34.0,12.0,4.0,0.313,0.313,0.626,3.5,3.5,2012.0,2200,外野手,6,28,1984/07/03,168cm,66kg,O型,左左,山梨,False
岡島　豪郎,楽天,0.258,43.0,125.0,120.0,31.0,2.0,11.0,3.0,4.0,1.0,15.0,0.0,1.0,0.288,0.333,0.621,3.42,3.4,2012.0,800,捕手,1,23,1989/09/07,177cm,82kg,A型,右左,群馬,False
大和,阪神,0.257,128.0,349.0,311.0,80.0,0.0,26.0,17.0,15.0,4.0,46.0,19.0,3.0,0.3,0.318,0.618,3.19,3.1,2012.0,1400,内野手,7,25,1987/11/05,177cm,63kg,A型,右右,鹿児島,False
上田　剛史,ヤクルト,0.257,50.0,173.0,148.0,38.0,0.0,12.0,8.0,12.0,0.0,30.0,13.0,2.0,0.313,0.318,0.63,3.23,3.15,2012.0,1000,外野手,6,24,1988/10/02,179cm,73kg,B型,右左,岡山,False
後藤　武敏,DeNA,0.256,51.0,138.0,125.0,32.0,6.0,15.0,0.0,12.0,0.0,26.0,0.0,2.0,0.319,0.424,0.743,4.62,4.76,2012.0,1700,内野手,10,32,1980/06/05,176cm,84kg,A型,右右,静岡,False
川本　良平,ヤクルト,0.256,27.0,47.0,43.0,11.0,1.0,4.0,0.0,3.0,1.0,13.0,0.0,1.0,0.319,0.372,0.691,3.64,3.56,2012.0,2300,捕手,8,30,1982/04/28,178cm,85kg,A型,右右,広島,False
井口　資仁,ロッテ,0.255,140.0,578.0,505.0,129.0,11.0,60.0,3.0,53.0,16.0,99.0,0.0,11.0,0.343,0.384,0.727,4.73,4.7,2012.0,18000,内野手,12,38,1974/12/04,178cm,91kg,O型,右右,東京都,True
福地　寿樹,ヤクルト,0.255,83.0,216.0,188.0,48.0,0.0,19.0,12.0,16.0,4.0,29.0,6.0,3.0,0.324,0.335,0.659,4.17,4.1,2012.0,7000,外野手,19,37,1975/12/17,184cm,85kg,O型,右両,佐賀,False
明石　健志,ソフトバンク,0.254,135.0,567.0,508.0,129.0,1.0,27.0,25.0,33.0,2.0,98.0,23.0,2.0,0.301,0.299,0.601,3.21,3.21,2012.0,2000,内野手,9,26,1986/01/09,175cm,64kg,B型,右左,北海道,False
中村　悠平,ヤクルト,0.254,91.0,249.0,209.0,53.0,1.0,15.0,1.0,28.0,2.0,31.0,8.0,10.0,0.344,0.292,0.636,3.23,3.25,2012.0,650,捕手,4,22,1990/06/17,176cm,70kg,A型,右右,福井,False
上本　博紀,阪神,0.254,62.0,224.0,197.0,50.0,1.0,7.0,13.0,19.0,5.0,46.0,2.0,3.0,0.333,0.345,0.679,4.26,4.18,2012.0,1800,内野手,4,26,1986/07/04,173cm,63kg,O型,右右,広島,False
大田　泰示,巨人,0.254,21.0,70.0,63.0,16.0,2.0,7.0,3.0,7.0,0.0,15.0,0.0,3.0,0.329,0.444,0.773,4.28,4.22,2012.0,950,外野手,4,22,1990/06/09,188cm,92kg,O型,右右,広島,False
今江　敏晃,ロッテ,0.253,136.0,501.0,446.0,113.0,6.0,47.0,0.0,19.0,5.0,37.0,23.0,15.0,0.287,0.354,0.641,2.98,3.08,2012.0,14700,内野手,11,29,1983/08/26,180cm,88kg,B型,右右,京都,False
村田　修一,巨人,0.252,144.0,575.0,516.0,130.0,12.0,58.0,1.0,36.0,15.0,85.0,2.0,16.0,0.316,0.374,0.69,3.83,3.89,2012.0,22000,内野手,10,32,1980/12/28,177cm,92kg,AB型,右右,福岡,False
藤村　大介,巨人,0.252,109.0,279.0,238.0,60.0,0.0,10.0,14.0,15.0,0.0,35.0,26.0,2.0,0.296,0.298,0.595,2.84,2.79,2012.0,2400,内野手,5,23,1989/07/25,173cm,73kg,AB型,右左,熊本,False
下園　辰哉,DeNA,0.252,90.0,150.0,139.0,35.0,0.0,14.0,0.0,10.0,0.0,21.0,1.0,6.0,0.302,0.324,0.626,2.93,2.77,2012.0,3700,外野手,6,28,1984/11/22,179cm,81kg,B型,左左,宮崎,False
安部　友裕,広島,0.252,53.0,135.0,119.0,30.0,1.0,2.0,5.0,7.0,0.0,21.0,9.0,1.0,0.294,0.303,0.596,2.98,2.95,2012.0,650,内野手,5,23,1989/06/24,181cm,80kg,O型,右左,福岡,False
荒木　雅博,中日,0.251,129.0,569.0,510.0,128.0,3.0,31.0,12.0,19.0,2.0,65.0,36.0,4.0,0.28,0.314,0.593,2.93,2.89,2012.0,20000,内野手,17,35,1977/09/13,180cm,74kg,A型,右右,熊本,False
鉄平,楽天,0.251,121.0,355.0,315.0,79.0,1.0,33.0,8.0,11.0,6.0,45.0,18.0,7.0,0.285,0.302,0.586,2.62,2.75,2012.0,11000,外野手,12,30,1982/12/27,178cm,78kg,AB型,右左,大分,False
新井　貴浩,阪神,0.25,122.0,493.0,460.0,115.0,9.0,52.0,1.0,30.0,1.0,85.0,0.0,12.0,0.296,0.363,0.659,3.43,3.4,2012.0,25000,内野手,14,35,1977/01/30,189cm,96kg,B型,右右,広島,False
