選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year
西川　龍馬,広島,0.297,138,585,535,159,16,64,6,32,2,81,11,9,0.336,0.441,0.777,5.10,5.01,2019
青木　宣親,ヤクルト,0.297,134,565,489,145,16,58,1,61,11,72,1,13,0.385,0.442,0.826,6.17,6.06,2019
阿部　慎之助,巨人,0.297,95,192,158,47,7,27,0,28,4,23,0,1,0.411,0.481,0.892,7.86,7.75,2019
佐野　恵太,DeNA,0.295,89,215,200,59,5,33,0,13,2,39,0,9,0.344,0.42,0.764,4.72,4.51,2019
高橋　周平,中日,0.293,117,471,430,126,7,59,3,32,3,70,5,10,0.345,0.43,0.776,5.11,4.83,2019
丸　佳浩,巨人,0.292,143,631,535,156,27,89,12,86,3,125,0,15,0.388,0.495,0.884,6.82,6.79,2019
阿部　寿樹,中日,0.291,129,484,447,130,7,59,1,31,1,82,3,9,0.337,0.405,0.742,4.89,4.70,2019
井領　雅貴,中日,0.29,55,103,100,29,0,9,0,3,0,21,0,0,0.311,0.4,0.711,4.74,4.37,2019
大田　泰示,日本ハム,0.289,132,594,557,161,20,77,6,27,5,111,0,22,0.325,0.451,0.776,4.78,4.71,2019
柳田　悠岐,ソフトバンク,0.289,38,157,128,37,7,23,4,28,1,28,0,4,0.42,0.516,0.936,7.86,7.63,2019
中山　翔太,ヤクルト,0.289,35,100,97,28,5,14,0,3,0,25,0,2,0.31,0.485,0.795,5.22,5.11,2019
西川　遥輝,日本ハム,0.288,142,651,548,158,5,41,19,93,2,111,8,5,0.393,0.385,0.779,6.13,5.90,2019
鈴木　大地,ロッテ,0.288,140,614,527,152,15,68,3,56,16,75,13,11,0.373,0.454,0.826,6.06,5.86,2019
中川　圭太,オリックス,0.288,111,396,364,105,3,32,9,25,1,62,4,6,0.334,0.382,0.716,4.53,4.37,2019
伊藤　裕季也,DeNA,0.288,21,57,52,15,4,7,0,3,1,17,0,1,0.333,0.596,0.929,6.91,6.94,2019
島内　宏明,楽天,0.287,133,585,506,145,10,57,3,58,11,65,9,11,0.372,0.407,0.779,5.43,5.29,2019
福田　永将,中日,0.287,105,352,310,89,18,66,0,32,5,69,0,7,0.358,0.519,0.877,6.48,6.47,2019
中村　剛也,西武,0.286,135,557,496,142,30,123,2,54,4,123,0,12,0.359,0.528,0.887,6.61,6.49,2019
三家　和真,ロッテ,0.286,25,22,21,6,1,5,0,1,0,8,0,0,0.318,0.571,0.89,6.77,6.53,2019
立岡　宗一郎,巨人,0.286,25,16,14,4,0,1,3,2,0,4,0,0,0.375,0.429,0.804,8.01,7.37,2019
髙濱　卓也,ロッテ,0.286,8,7,7,2,0,3,0,0,0,3,0,0,0.286,0.571,0.857,6.12,5.24,2019
亀井　善行,巨人,0.284,131,503,450,128,13,55,9,45,0,91,3,6,0.346,0.44,0.786,5.68,5.58,2019
宮﨑　敏郎,DeNA,0.284,114,473,433,123,15,49,0,32,3,35,0,13,0.334,0.443,0.777,5.10,5.07,2019
マルテ,阪神,0.284,105,412,349,99,12,49,0,51,7,73,0,14,0.381,0.444,0.825,5.75,5.75,2019
茂木　栄五郎,楽天,0.282,141,648,568,160,13,55,7,66,3,121,9,7,0.358,0.421,0.779,5.49,5.35,2019
バレンティン,ヤクルト,0.28,120,468,410,115,33,93,0,54,1,117,0,11,0.363,0.554,0.917,6.85,6.88,2019
神里　和毅,DeNA,0.279,123,458,427,119,6,35,15,26,2,121,3,7,0.323,0.407,0.731,4.43,4.22,2019
髙橋　大樹,広島,0.279,27,48,43,12,1,3,0,4,0,11,1,0,0.34,0.419,0.759,4.91,4.83,2019
平田　良介,中日,0.278,95,407,360,100,8,32,3,38,4,53,1,8,0.35,0.425,0.775,5.06,5.01,2019
磯村　嘉孝,広島,0.278,65,117,108,30,4,21,0,5,0,24,3,3,0.307,0.472,0.779,4.56,4.49,2019
コラス,ソフトバンク,0.278,7,21,18,5,1,2,0,1,2,6,0,0,0.381,0.444,0.825,6.70,6.73,2019
會澤　翼,広島,0.277,126,447,376,104,12,63,2,58,10,81,3,6,0.387,0.439,0.826,6.38,6.17,2019
安達　了一,オリックス,0.277,56,179,155,43,2,20,10,18,1,29,4,5,0.354,0.368,0.722,4.69,4.62,2019
原口　文仁,阪神,0.276,43,94,87,24,1,11,0,4,1,23,0,3,0.309,0.356,0.665,3.57,3.69,2019
今江　年晶,楽天,0.276,26,79,76,21,1,7,0,3,0,16,0,6,0.304,0.342,0.646,2.36,2.30,2019
外崎　修汰,西武,0.274,143,621,533,146,26,90,22,63,5,132,14,9,0.353,0.493,0.846,6.10,6.10,2019
源田　壮亮,西武,0.274,135,609,540,148,2,41,30,40,1,67,25,9,0.324,0.35,0.674,4.01,3.92,2019
陽　岱鋼,巨人,0.274,110,231,208,57,4,21,0,22,1,66,0,9,0.346,0.38,0.726,4.22,4.13,2019
山崎　晃大朗,ヤクルト,0.274,80,185,168,46,0,8,4,10,1,39,6,4,0.318,0.333,0.652,3.70,3.57,2019
雄平,ヤクルト,0.273,131,493,447,122,12,56,4,37,2,71,1,4,0.327,0.396,0.723,4.75,4.79,2019
筒香　嘉智,DeNA,0.272,131,557,464,126,29,79,0,88,2,141,0,5,0.388,0.511,0.899,7.35,7.29,2019
山田　哲人,ヤクルト,0.271,142,641,520,141,35,98,33,110,6,121,0,14,0.401,0.56,0.961,8.15,8.02,2019
近本　光司,阪神,0.271,142,640,586,159,9,42,36,31,6,110,14,2,0.313,0.375,0.689,4.25,4.21,2019
宗　佑磨,オリックス,0.27,54,177,148,40,2,14,7,13,11,30,4,4,0.37,0.365,0.735,4.82,4.79,2019
遠藤　一星,中日,0.27,108,120,111,30,2,11,4,5,2,28,2,1,0.314,0.396,0.71,4.01,3.95,2019
ソト,DeNA,0.269,141,584,516,139,43,108,0,59,5,98,0,14,0.348,0.554,0.902,6.56,6.62,2019
中村　悠平,ヤクルト,0.269,126,450,372,100,5,36,1,53,10,64,13,11,0.373,0.384,0.757,4.89,4.77,2019
バティスタ,広島,0.269,103,423,372,100,26,64,0,45,3,108,0,6,0.35,0.513,0.863,6.38,6.45,2019
髙山　俊,阪神,0.269,105,300,271,73,5,29,9,24,3,56,2,3,0.336,0.369,0.705,4.61,4.46,2019
糸原　健斗,阪神,0.267,143,572,491,131,2,45,6,60,7,70,11,7,0.353,0.336,0.689,4.39,4.34,2019
熊代　聖人,西武,0.267,33,17,15,4,0,0,2,1,0,5,1,0,0.313,0.333,0.646,3.45,3.34,2019
梅野　隆太郎,阪神,0.266,129,492,433,115,9,59,14,34,6,83,16,16,0.326,0.393,0.718,4.15,4.08,2019
重信　慎之介,巨人,0.266,106,174,158,42,2,16,14,11,0,43,2,1,0.308,0.373,0.682,4.42,4.48,2019
岡本　和真,巨人,0.265,143,628,555,147,31,94,3,62,6,132,2,15,0.343,0.485,0.828,5.72,5.69,2019
大城　卓三,巨人,0.265,109,329,294,78,6,30,0,25,4,80,5,7,0.33,0.388,0.718,4.32,4.24,2019
西村　凌,オリックス,0.265,19,53,49,13,2,4,2,2,0,10,2,1,0.294,0.449,0.743,4.59,4.48,2019
藤岡　裕大,ロッテ,0.264,81,278,250,66,2,21,3,16,0,33,10,4,0.306,0.352,0.658,3.69,3.63,2019
浅村　栄斗,楽天,0.263,143,635,529,139,33,92,1,93,4,162,0,12,0.372,0.507,0.878,6.60,6.67,2019
田代　将太郎,ヤクルト,0.263,51,21,19,5,0,7,1,0,1,6,0,0,0.286,0.526,0.812,4.83,5.16,2019
渡邉　諒,日本ハム,0.262,132,543,481,126,11,58,0,48,6,120,3,8,0.333,0.385,0.718,4.53,4.59,2019
木浪　聖也,阪神,0.262,113,390,363,95,4,32,2,18,3,77,6,8,0.302,0.355,0.657,3.60,3.44,2019
大城　滉二,オリックス,0.262,91,345,302,79,3,28,11,25,6,56,11,4,0.329,0.364,0.694,3.92,3.85,2019
炭谷　銀仁朗,巨人,0.262,58,138,126,33,6,26,0,7,2,28,2,4,0.309,0.437,0.745,4.36,4.42,2019
岡田　雅利,西武,0.262,36,78,61,16,1,7,0,9,2,12,6,1,0.375,0.393,0.768,5.13,4.98,2019
菊池　涼介,広島,0.261,138,619,547,143,13,48,14,41,1,102,28,5,0.313,0.406,0.719,4.40,4.30,2019
ブラッシュ,楽天,0.261,128,527,426,111,33,95,2,81,17,157,0,7,0.397,0.54,0.936,7.57,7.60,2019
松田　宣浩,ソフトバンク,0.26,143,576,534,139,30,76,5,33,3,115,2,14,0.305,0.483,0.788,4.87,4.91,2019
甲斐　拓也,ソフトバンク,0.26,137,454,377,98,11,43,9,50,1,114,23,9,0.346,0.387,0.733,4.46,4.50,2019
デスパイネ,ソフトバンク,0.259,130,519,448,116,36,88,0,63,5,119,0,6,0.355,0.52,0.875,6.54,6.68,2019
松山　竜平,広島,0.259,110,327,294,76,6,49,0,29,2,42,0,7,0.327,0.374,0.701,4.29,4.27,2019
清水　優心,日本ハム,0.259,98,246,216,56,5,24,0,19,1,51,9,6,0.321,0.366,0.686,3.75,3.76,2019
福田　秀平,ソフトバンク,0.259,80,183,166,43,9,26,9,11,0,48,4,1,0.302,0.47,0.772,5.00,5.10,2019
メヒア,広島,0.259,56,173,162,42,7,17,0,11,0,46,0,2,0.306,0.426,0.732,4.60,4.53,2019
大山　悠輔,阪神,0.258,143,587,538,139,14,76,3,39,5,98,1,12,0.312,0.401,0.714,4.34,4.29,2019
角中　勝也,ロッテ,0.258,108,435,368,95,8,48,2,55,5,63,3,10,0.359,0.375,0.734,4.78,4.81,2019
藤田　一也,楽天,0.258,61,136,124,32,2,10,1,7,1,16,4,1,0.303,0.339,0.642,3.69,3.60,2019
石川　慎吾,巨人,0.257,55,76,70,18,4,10,0,6,0,14,0,2,0.316,0.457,0.773,4.82,4.81,2019
山川　穂高,西武,0.256,143,626,524,134,43,120,1,86,13,142,0,13,0.372,0.54,0.912,6.95,6.98,2019
内川　聖一,ソフトバンク,0.256,137,535,500,128,12,41,3,28,2,49,1,16,0.296,0.37,0.666,3.56,3.57,2019
今宮　健太,ソフトバンク,0.256,106,426,383,98,14,41,4,32,3,67,7,3,0.317,0.405,0.722,4.45,4.45,2019
福留　孝介,阪神,0.256,104,403,348,89,10,47,0,49,1,85,2,5,0.347,0.394,0.74,5.01,5.04,2019
柴田　竜拓,DeNA,0.256,111,196,164,42,3,17,3,20,0,38,10,3,0.333,0.372,0.705,4.35,4.36,2019
王　柏融,日本ハム,0.255,88,340,306,78,3,35,1,25,6,65,0,6,0.321,0.327,0.647,3.74,3.78,2019
田中　賢介,日本ハム,0.255,89,170,153,39,1,16,0,14,0,17,2,3,0.315,0.34,0.655,3.75,3.70,2019
伊藤　光,DeNA,0.254,84,301,256,65,8,27,5,37,3,45,3,4,0.352,0.379,0.731,4.70,4.74,2019
安部　友裕,広島,0.254,114,295,264,67,8,28,5,23,1,60,6,9,0.315,0.39,0.705,3.91,3.91,2019
清田　育宏,ロッテ,0.253,117,377,336,85,10,57,1,35,2,77,2,6,0.325,0.378,0.703,4.20,4.28,2019
井上　晴哉,ロッテ,0.252,129,509,429,108,24,65,0,67,9,98,0,10,0.362,0.462,0.824,5.91,5.99,2019
栗山　巧,西武,0.252,123,466,409,103,7,54,0,48,3,100,3,13,0.333,0.355,0.687,3.99,3.98,2019
和田　恋,楽天,0.252,31,113,107,27,2,11,0,3,1,32,1,4,0.277,0.364,0.641,2.97,3.02,2019
金子　侑司,西武,0.251,133,524,463,116,3,33,41,49,3,81,6,3,0.324,0.292,0.616,3.83,3.90,2019
太田　賢吾,ヤクルト,0.251,90,337,303,76,3,27,0,23,2,78,8,5,0.307,0.33,0.637,3.45,3.42,2019
福田　周平,オリックス,0.25,135,583,492,123,2,38,30,62,8,57,19,7,0.342,0.309,0.651,3.85,3.87,2019
長野　久義,広島,0.25,72,197,180,45,5,20,0,15,1,40,0,11,0.31,0.383,0.693,3.19,3.21,2019
荒木　貴裕,ヤクルト,0.25,93,140,124,31,2,22,1,13,2,29,0,1,0.329,0.347,0.675,4.34,4.35,2019
下水流　昂,楽天,0.25,50,101,88,22,2,6,0,10,1,28,2,1,0.333,0.341,0.674,3.93,3.97,2019
桂　依央利,中日,0.25,4,9,8,2,0,0,0,0,0,2,1,0,0.25,0.25,0.5,1.88,1.85,2019
島田　海吏,阪神,0.25,7,5,4,1,0,0,0,1,0,1,0,0,0.4,0.5,0.9,7.74,7.02,2019
三好　匠,楽天,0.25,17,4,4,1,0,1,1,0,0,1,0,0,0.25,0.25,0.5,3.67,3.60,2019
宇佐見　真吾,巨人,0.25,3,4,4,1,0,0,0,0,0,0,0,0,0.25,0.25,0.5,2.05,2.07,2019
郡　拓也,日本ハム,0.25,2,4,4,1,0,0,0,0,0,2,0,0,0.25,0.25,0.5,1.89,1.89,2019
京田　陽太,中日,0.249,140,574,507,126,3,40,17,37,3,91,24,10,0.302,0.314,0.615,3.11,3.12,2019
レアード,ロッテ,0.248,139,553,487,121,32,89,0,55,8,128,0,18,0.333,0.483,0.815,5.22,5.32,2019
野間　峻祥,広島,0.248,123,353,314,78,2,16,14,27,5,56,6,5,0.317,0.331,0.648,3.88,3.82,2019
明石　健志,ソフトバンク,0.248,99,315,282,70,5,21,6,26,1,66,5,6,0.313,0.365,0.678,3.88,3.85,2019
中井　大介,DeNA,0.248,79,183,161,40,3,7,2,18,0,34,3,9,0.322,0.329,0.651,3.09,3.17,2019
北條　史也,阪神,0.247,82,211,174,43,5,20,2,23,1,40,13,3,0.338,0.374,0.712,4.36,4.33,2019
小窪　哲也,広島,0.246,51,125,114,28,1,5,0,10,0,19,1,3,0.306,0.298,0.605,3.02,2.96,2019
乙坂　智,DeNA,0.245,97,179,159,39,2,17,6,14,2,33,3,3,0.313,0.358,0.671,3.75,3.72,2019
中村　晃,ソフトバンク,0.245,44,159,139,34,3,11,0,15,1,13,3,0,0.321,0.345,0.666,4.22,4.31,2019
モヤ,オリックス,0.244,64,255,242,59,10,35,0,10,2,59,0,7,0.278,0.397,0.675,3.49,3.58,2019
小林　誠司,巨人,0.244,92,236,213,52,2,19,1,7,4,48,11,12,0.28,0.3,0.58,2.11,2.13,2019
ウィーラー,楽天,0.243,117,472,411,100,19,67,3,43,8,96,0,22,0.32,0.418,0.738,3.90,4.21,2019
田村　龍弘,ロッテ,0.243,100,321,284,69,3,31,1,22,0,59,12,8,0.294,0.324,0.618,2.89,2.96,2019
中田　翔,日本ハム,0.242,124,514,450,109,24,80,0,55,5,83,0,16,0.329,0.449,0.778,4.84,4.93,2019
牧原　大成,ソフトバンク,0.242,114,436,409,99,3,27,10,10,4,85,12,2,0.267,0.308,0.575,2.40,2.43,2019
植田　海,阪神,0.242,81,37,33,8,1,2,12,1,1,8,2,0,0.286,0.333,0.619,4.46,4.57,2019
ロペス,DeNA,0.241,142,597,551,133,31,84,0,39,4,107,0,18,0.295,0.461,0.756,4.37,4.42,2019
西野　真弘,オリックス,0.241,56,188,166,40,1,14,1,16,2,24,3,1,0.314,0.301,0.615,3.55,3.60,2019
若林　晃弘,巨人,0.239,77,273,234,56,5,21,11,32,2,51,4,3,0.335,0.35,0.685,4.43,4.46,2019
大和,DeNA,0.237,137,490,438,104,0,37,3,34,6,75,10,7,0.3,0.285,0.585,2.93,2.93,2019
ゲレーロ,巨人,0.237,101,333,287,68,21,54,1,40,4,59,1,5,0.337,0.526,0.863,6.15,6.17,2019
平沼　翔太,日本ハム,0.236,73,184,165,39,1,16,2,10,3,26,5,3,0.291,0.333,0.624,3.17,3.15,2019
西浦　直亨,ヤクルト,0.235,44,162,149,35,4,19,0,10,1,35,2,6,0.288,0.376,0.663,3.20,3.16,2019
上田　剛史,ヤクルト,0.235,56,57,51,12,0,4,1,1,1,7,3,1,0.259,0.235,0.495,1.60,1.85,2019
フェルナンド,楽天,0.235,16,39,34,8,0,7,0,2,1,10,1,1,0.289,0.265,0.554,2.37,2.66,2019
吉田　裕太,ロッテ,0.234,32,56,47,11,2,7,0,5,0,13,4,2,0.308,0.383,0.691,3.07,3.18,2019
中村　奨吾,ロッテ,0.232,143,586,512,119,17,59,12,53,12,96,6,10,0.317,0.375,0.692,4.04,4.13,2019
マーティン,ロッテ,0.232,52,228,194,45,14,39,3,26,7,57,0,4,0.342,0.495,0.837,5.61,5.74,2019
山本　泰寛,巨人,0.232,92,212,177,41,2,10,2,22,7,51,6,3,0.34,0.339,0.679,4.17,4.12,2019
村上　宗隆,ヤクルト,0.231,143,593,511,118,36,96,5,74,5,184,0,9,0.332,0.481,0.814,5.42,5.56,2019
栗原　陵矢,ソフトバンク,0.231,32,45,39,9,1,7,0,3,2,10,0,1,0.311,0.359,0.67,3.77,4.13,2019
宜保　翔,オリックス,0.231,8,28,26,6,0,0,0,2,0,7,0,0,0.286,0.269,0.555,2.76,2.75,2019
坂倉　将吾,広島,0.23,51,64,61,14,1,7,0,3,0,19,0,0,0.266,0.344,0.61,3.19,3.14,2019
辰己　涼介,楽天,0.229,124,369,314,72,4,25,13,39,4,101,10,4,0.32,0.318,0.639,3.71,3.77,2019
谷口　雄也,日本ハム,0.229,30,50,48,11,2,10,0,2,0,12,0,1,0.26,0.396,0.656,3.28,3.34,2019
加藤　匠馬,中日,0.228,92,245,224,51,0,13,0,9,0,57,12,6,0.258,0.286,0.543,2.00,1.96,2019
岡　大海,ロッテ,0.227,95,182,154,35,6,16,13,18,6,32,3,5,0.33,0.409,0.739,4.82,4.86,2019
木下　拓哉,中日,0.227,39,98,88,20,2,8,0,5,3,22,1,2,0.289,0.364,0.652,3.40,3.45,2019
鈴木　昂平,オリックス,0.227,58,53,44,10,0,0,0,4,3,12,2,2,0.333,0.25,0.583,2.65,2.69,2019
モヤ,中日,0.227,7,22,22,5,1,3,0,0,0,7,0,0,0.227,0.364,0.591,2.76,2.94,2019
渡邊　佳明,楽天,0.225,77,245,218,49,1,26,0,14,1,40,11,5,0.274,0.284,0.558,2.33,2.35,2019
石井　一成,日本ハム,0.224,76,226,196,44,4,22,2,16,0,61,13,3,0.282,0.367,0.649,3.10,3.14,2019
後藤　駿太,オリックス,0.224,91,194,165,37,1,22,4,19,3,47,6,1,0.314,0.321,0.635,3.48,3.53,2019
田中　俊太,巨人,0.224,62,176,156,35,4,14,2,14,0,36,4,2,0.285,0.346,0.631,3.38,3.54,2019
ビヤヌエバ,巨人,0.223,73,235,202,45,8,24,2,25,6,52,1,5,0.325,0.386,0.711,4.32,4.43,2019
細川　成也,DeNA,0.222,36,83,72,16,1,10,0,8,2,24,0,1,0.313,0.292,0.605,3.29,3.51,2019
塚田　正義,ソフトバンク,0.222,18,24,18,4,1,3,0,5,1,6,0,1,0.417,0.389,0.806,5.73,5.62,2019
木村　文紀,西武,0.22,130,441,391,86,10,38,16,24,5,101,15,3,0.27,0.343,0.613,2.96,3.19,2019
中島　卓也,日本ハム,0.22,120,328,291,64,0,16,12,22,2,70,12,2,0.278,0.244,0.522,2.25,2.35,2019
小島　脩平,オリックス,0.22,103,266,246,54,4,18,7,16,0,49,3,2,0.266,0.305,0.571,2.60,2.71,2019
釜元　豪,ソフトバンク,0.22,86,189,173,38,4,11,11,12,0,56,4,2,0.27,0.312,0.582,3.00,3.10,2019
藤井　淳志,中日,0.22,61,154,141,31,1,12,1,11,1,33,0,3,0.279,0.312,0.591,2.82,2.87,2019
佐藤　龍世,西武,0.22,52,63,59,13,2,7,0,3,0,14,1,1,0.258,0.424,0.682,3.54,3.45,2019
太田　光,楽天,0.219,55,112,96,21,1,6,1,7,1,23,8,2,0.279,0.271,0.55,2.31,2.36,2019
松井　佑介,中日,0.219,16,37,32,7,0,2,0,3,0,13,2,0,0.286,0.281,0.567,2.73,2.69,2019
梶谷　隆幸,DeNA,0.215,41,110,93,20,5,15,3,16,0,20,1,1,0.33,0.43,0.76,5.24,5.27,2019
三木　亮,ロッテ,0.214,89,145,126,27,2,15,5,6,4,38,8,1,0.27,0.286,0.556,2.69,2.84,2019
小園　海斗,広島,0.213,58,197,188,40,4,16,1,6,1,42,2,1,0.241,0.324,0.565,2.53,2.55,2019
堂上　直倫,中日,0.212,98,217,193,41,12,39,1,13,0,56,11,4,0.262,0.446,0.708,3.64,3.75,2019
松本　直樹,ヤクルト,0.212,33,73,66,14,1,4,0,3,1,9,3,2,0.257,0.273,0.53,1.88,1.97,2019
松井　雅人,中日,0.212,20,39,33,7,0,2,0,4,0,12,2,1,0.297,0.273,0.57,2.42,2.39,2019
メヒア,西武,0.211,75,147,128,27,6,31,0,15,0,46,0,2,0.286,0.422,0.708,4.05,4.42,2019
マレーロ,オリックス,0.211,43,133,123,26,2,14,0,7,1,35,0,5,0.256,0.317,0.573,2.16,2.34,2019
嶺井　博希,DeNA,0.211,64,130,114,24,2,12,0,7,4,23,5,5,0.28,0.316,0.596,2.41,2.46,2019
杉谷　拳士,日本ハム,0.209,83,157,134,28,4,12,5,13,3,36,6,2,0.291,0.343,0.635,3.38,3.53,2019
嶋　基宏,楽天,0.209,57,131,110,23,3,15,0,13,1,20,7,3,0.298,0.336,0.635,3.11,3.16,2019
ナバーロ,阪神,0.209,15,45,43,9,0,2,0,2,0,9,0,2,0.244,0.256,0.5,1.31,1.31,2019
石川　雄洋,DeNA,0.208,50,113,101,21,2,5,1,5,1,34,6,1,0.252,0.317,0.569,2.07,2.17,2019
楠本　泰史,DeNA,0.208,39,81,72,15,1,6,0,7,2,19,0,1,0.296,0.306,0.602,2.67,2.74,2019
三森　大貴,ソフトバンク,0.208,24,51,48,10,0,1,3,2,1,17,0,0,0.255,0.333,0.588,2.60,2.62,2019
佐野　皓大,オリックス,0.207,68,130,121,25,1,9,12,5,1,43,3,2,0.244,0.289,0.533,2.22,2.26,2019
鳥谷　敬,阪神,0.207,74,105,92,19,0,4,1,12,0,16,1,2,0.298,0.261,0.559,2.64,2.69,2019
淺間　大基,日本ハム,0.207,13,33,29,6,0,1,0,1,0,5,3,0,0.233,0.345,0.578,2.52,2.42,2019
小田　裕也,オリックス,0.206,82,203,180,37,3,21,9,12,6,47,3,0,0.275,0.306,0.581,2.82,3.04,2019
メネセス,オリックス,0.206,29,118,102,21,4,14,0,13,0,28,0,3,0.288,0.363,0.651,3.17,3.60,2019
堂林　翔太,広島,0.206,28,38,34,7,0,2,0,2,0,9,2,0,0.25,0.265,0.515,2.07,2.14,2019
清宮　幸太郎,日本ハム,0.204,81,278,250,51,7,33,0,21,3,75,0,4,0.27,0.34,0.61,2.90,3.16,2019
西田　明央,ヤクルト,0.204,47,62,54,11,0,4,0,8,0,16,0,1,0.306,0.296,0.603,3.11,2.98,2019
白崎　浩之,オリックス,0.204,25,54,49,10,2,6,0,5,0,14,0,1,0.278,0.327,0.604,2.87,3.10,2019
廣岡　大志,ヤクルト,0.203,91,243,202,41,10,25,1,33,2,77,5,4,0.319,0.391,0.71,4.11,4.32,2019
大引　啓次,ヤクルト,0.202,70,137,119,24,1,13,1,13,0,28,4,4,0.278,0.286,0.564,2.33,2.38,2019
加藤　翔平,ロッテ,0.202,60,120,109,22,4,9,4,7,2,32,2,2,0.263,0.358,0.621,2.85,3.00,2019
戸柱　恭孝,DeNA,0.2,45,111,100,20,1,6,0,7,1,22,2,2,0.257,0.31,0.567,2.39,2.53,2019
石川　亮,日本ハム,0.2,46,86,75,15,0,3,0,2,0,29,9,2,0.221,0.24,0.461,1.07,1.08,2019
増田　大輝,巨人,0.2,75,58,50,10,0,6,15,6,0,11,2,2,0.286,0.32,0.606,3.69,3.68,2019
武山　真吾,中日,0.2,30,51,45,9,1,4,0,3,2,13,1,1,0.28,0.311,0.591,2.69,2.78,2019
曽根　海成,広島,0.2,64,31,25,5,0,2,5,3,1,10,2,0,0.31,0.2,0.51,2.42,2.51,2019
古賀　優大,ヤクルト,0.2,11,17,15,3,0,0,0,1,0,2,1,0,0.25,0.2,0.45,1.51,1.62,2019
溝脇　隼人,中日,0.2,8,16,15,3,0,0,0,1,0,2,0,0,0.25,0.333,0.583,2.85,2.88,2019
井野　卓,ヤクルト,0.2,7,11,10,2,0,0,0,0,0,4,1,1,0.2,0.3,0.5,0.48,0.38,2019
松田　進,ロッテ,0.2,3,6,5,1,0,1,0,1,0,1,0,0,0.333,0.2,0.533,0.45,0.81,2019
