選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year,年俸(万円),守備,年数,年齢,生年月日,身長,体重,血液型,投打,出身地,外国出身
ゴメス,中日,0.077,12.0,14.0,13.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.143,0.077,0.22,-1.58,-1.35,2014.0,12000,内野手,1,30,1984/09/07,188cm,104kg,不明,右右,ドミニカ共和国,True
ゴメス,中日,0.077,12.0,14.0,13.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.143,0.077,0.22,-1.58,-1.35,2014.0,1030,外野手,1,36,1978/08/08,191cm,100kg,B型,左左,ドミニカ共和国,True
ブランコ,DeNA,0.283,85.0,333.0,311.0,88.0,17.0,60.0,0.0,18.0,4.0,91.0,0.0,5.0,0.33,0.492,0.822,5.77,5.63,2014.0,20000,内野手,6,34,1980/11/10,188cm,102kg,A型,右右,ドミニカ共和国,True
後藤　武敏,DeNA,0.283,68.0,165.0,145.0,41.0,7.0,31.0,0.0,18.0,0.0,34.0,1.0,4.0,0.36,0.483,0.843,6.02,5.93,2014.0,1800,内野手,12,34,1980/06/05,176cm,84kg,A型,右右,静岡,False
福浦　和也,ロッテ,0.283,43.0,106.0,92.0,26.0,0.0,15.0,0.0,12.0,2.0,14.0,0.0,1.0,0.377,0.304,0.682,4.84,4.71,2014.0,5000,内野手,21,39,1975/12/14,183cm,88kg,B型,左左,千葉,False
竹原　直隆,オリックス,0.282,21.0,43.0,39.0,11.0,1.0,4.0,0.0,3.0,0.0,5.0,0.0,1.0,0.326,0.436,0.761,4.94,5.00,2014.0,1450,外野手,10,34,1980/04/21,183cm,93kg,O型,左右,岡山,False
和田　一浩,中日,0.281,90.0,356.0,302.0,85.0,16.0,65.0,2.0,45.0,4.0,38.0,0.0,11.0,0.376,0.493,0.87,6.37,6.44,2014.0,25000,外野手,18,42,1972/06/19,182cm,90kg,O型,右右,岐阜,False
駿太,オリックス,0.28,127.0,277.0,246.0,69.0,5.0,30.0,5.0,17.0,2.0,55.0,12.0,3.0,0.332,0.411,0.743,4.67,4.51,2014.0,1500,外野手,4,21,1993/03/05,180cm,80kg,A型,右左,群馬,False
坂本　勇人,巨人,0.279,144.0,616.0,545.0,152.0,16.0,61.0,23.0,55.0,2.0,88.0,9.0,3.0,0.344,0.42,0.764,5.54,5.48,2014.0,18000,内野手,8,26,1988/12/14,186cm,82kg,AB型,右右,兵庫,False
角中　勝也,ロッテ,0.277,133.0,544.0,451.0,125.0,8.0,57.0,9.0,76.0,6.0,66.0,7.0,4.0,0.385,0.401,0.787,6.17,6.09,2014.0,5000,外野手,8,27,1987/05/25,180cm,85kg,A型,右左,石川,False
平田　良介,中日,0.277,119.0,488.0,429.0,119.0,11.0,65.0,7.0,54.0,1.0,65.0,0.0,13.0,0.357,0.399,0.755,5.07,5.06,2014.0,3500,外野手,9,26,1988/03/23,177cm,88kg,B型,右右,大阪,False
下園　辰哉,DeNA,0.277,68.0,117.0,101.0,28.0,1.0,8.0,0.0,14.0,1.0,18.0,1.0,1.0,0.371,0.347,0.717,5.12,5.00,2014.0,2500,外野手,8,30,1984/11/22,179cm,81kg,B型,左左,宮崎,False
上本　博紀,阪神,0.276,131.0,600.0,515.0,142.0,7.0,38.0,20.0,70.0,6.0,97.0,7.0,7.0,0.368,0.39,0.758,5.31,5.19,2014.0,1850,内野手,6,28,1986/07/04,173cm,63kg,O型,右右,広島,False
森岡　良介,ヤクルト,0.276,100.0,326.0,301.0,83.0,2.0,31.0,1.0,15.0,3.0,39.0,5.0,7.0,0.315,0.362,0.677,3.91,3.81,2014.0,3400,内野手,12,30,1984/07/15,174cm,71kg,A型,右左,大阪,False
ブラゼル,ロッテ,0.276,35.0,91.0,76.0,21.0,4.0,14.0,0.0,14.0,1.0,18.0,0.0,2.0,0.396,0.5,0.896,7.10,6.89,2014.0,8600,内野手,7,34,1980/05/10,191cm,95kg,不明,右左,アメリカ,True
岡田　幸文,ロッテ,0.275,110.0,249.0,222.0,61.0,0.0,9.0,14.0,14.0,1.0,32.0,11.0,1.0,0.319,0.329,0.648,3.94,3.86,2014.0,4000,外野手,6,30,1984/07/06,177cm,70kg,O型,左左,栃木,False
荒木　貴裕,ヤクルト,0.275,55.0,168.0,149.0,41.0,2.0,12.0,1.0,16.0,1.0,25.0,2.0,2.0,0.349,0.349,0.698,4.39,4.34,2014.0,1100,内野手,5,27,1987/07/26,180cm,84kg,AB型,右右,富山,False
森　友哉,西武,0.275,41.0,92.0,80.0,22.0,6.0,15.0,0.0,12.0,0.0,22.0,0.0,1.0,0.37,0.575,0.945,7.62,7.45,2014.0,1300,捕手,1,19,1995/08/08,170cm,80kg,A型,右左,大阪,False
松本　哲也,巨人,0.275,75.0,90.0,80.0,22.0,0.0,3.0,3.0,4.0,2.0,12.0,4.0,0.0,0.326,0.288,0.613,3.63,3.57,2014.0,3200,外野手,8,30,1984/07/03,168cm,66kg,O型,左左,山梨,False
北　篤,日本ハム,0.275,29.0,60.0,51.0,14.0,2.0,3.0,1.0,7.0,1.0,17.0,1.0,1.0,0.373,0.412,0.785,5.71,5.68,2014.0,670,外野手,8,26,1988/11/26,182cm,83kg,A型,右左,石川,False
藤井　淳志,中日,0.274,88.0,300.0,266.0,73.0,6.0,36.0,2.0,25.0,1.0,55.0,6.0,2.0,0.337,0.414,0.75,5.02,4.95,2014.0,2300,外野手,9,33,1981/05/20,182cm,81kg,O型,右両,愛知,False
大谷　翔平,日本ハム,0.274,87.0,234.0,212.0,58.0,10.0,31.0,1.0,21.0,0.0,48.0,0.0,4.0,0.338,0.505,0.842,6.03,5.88,2014.0,3000,投手,2,20,1994/07/05,193cm,90kg,B型,右左,岩手,False
浅村　栄斗,西武,0.273,118.0,501.0,440.0,120.0,14.0,55.0,3.0,47.0,6.0,100.0,0.0,8.0,0.345,0.416,0.761,5.04,5.15,2014.0,8600,内野手,6,24,1990/11/12,182cm,90kg,O型,右右,大阪,False
柳田　殖生,DeNA,0.273,74.0,101.0,88.0,24.0,4.0,10.0,0.0,2.0,5.0,20.0,6.0,2.0,0.326,0.443,0.769,4.70,4.64,2014.0,800,内野手,9,32,1982/03/31,180cm,82kg,A型,右右,兵庫,False
嶺井　博希,DeNA,0.273,10.0,14.0,11.0,3.0,0.0,3.0,0.0,2.0,0.0,2.0,1.0,0.0,0.385,0.455,0.839,6.31,6.06,2014.0,1000,捕手,1,23,1991/06/04,175cm,85kg,B型,右両,沖縄,False
多村　仁志,DeNA,0.272,73.0,166.0,147.0,40.0,4.0,23.0,0.0,15.0,2.0,23.0,1.0,4.0,0.345,0.401,0.747,4.60,4.59,2014.0,5000,外野手,20,37,1977/03/28,180cm,80kg,B型,右右,神奈川,False
荒波　翔,DeNA,0.271,63.0,206.0,188.0,51.0,3.0,18.0,9.0,13.0,1.0,28.0,4.0,1.0,0.322,0.383,0.705,4.77,4.62,2014.0,4500,外野手,4,28,1986/01/25,179cm,78kg,A型,右左,神奈川,False
今江　敏晃,ロッテ,0.27,120.0,478.0,445.0,120.0,10.0,54.0,1.0,23.0,5.0,43.0,4.0,13.0,0.312,0.402,0.714,4.16,4.05,2014.0,20000,内野手,13,31,1983/08/26,180cm,89kg,B型,右右,京都,False
ハフマン,ロッテ,0.27,67.0,210.0,185.0,50.0,4.0,28.0,0.0,20.0,4.0,51.0,1.0,1.0,0.354,0.443,0.797,5.79,5.50,2014.0,1545,外野手,1,29,1985/04/29,183cm,98kg,不明,右右,アメリカ,True
中田　翔,日本ハム,0.269,144.0,602.0,531.0,143.0,27.0,100.0,0.0,58.0,6.0,89.0,0.0,12.0,0.344,0.456,0.8,5.53,5.63,2014.0,15000,内野手,7,25,1989/04/22,183cm,100kg,O型,右右,広島,False
藤田　一也,楽天,0.269,144.0,579.0,517.0,139.0,2.0,36.0,3.0,16.0,3.0,55.0,41.0,12.0,0.294,0.317,0.611,2.80,2.75,2014.0,8000,内野手,10,32,1982/07/03,175cm,75kg,O型,右左,徳島,False
Ｔ−岡田,オリックス,0.269,130.0,533.0,472.0,127.0,24.0,75.0,4.0,37.0,17.0,107.0,5.0,10.0,0.343,0.481,0.824,5.60,5.53,2014.0,5500,外野手,9,26,1988/02/09,186cm,98kg,B型,左左,大阪,False
梵　英心,広島,0.269,114.0,416.0,353.0,95.0,8.0,41.0,7.0,39.0,5.0,57.0,17.0,14.0,0.348,0.399,0.748,4.21,4.19,2014.0,10000,内野手,9,34,1980/10/11,173cm,76kg,B型,右右,広島,False
川島　慶三,ヤクルト,0.269,19.0,36.0,26.0,7.0,0.0,1.0,1.0,7.0,1.0,6.0,2.0,2.0,0.441,0.346,0.787,5.40,4.98,2014.0,2200,内野手,9,31,1983/10/05,171cm,70kg,A型,右右,長崎,False
川島　慶三,ソフトバンク,0.176,10.0,21.0,17.0,3.0,0.0,1.0,2.0,3.0,1.0,5.0,0.0,0.0,0.333,0.176,0.51,3.48,3.70,2014.0,2200,内野手,9,31,1983/10/05,171cm,70kg,A型,右右,長崎,False
平野　恵一,オリックス,0.268,120.0,517.0,452.0,121.0,1.0,28.0,5.0,37.0,7.0,55.0,19.0,8.0,0.331,0.319,0.65,3.76,3.70,2014.0,15000,内野手,13,35,1979/04/07,169cm,67kg,B型,右左,神奈川,False
荒木　雅博,中日,0.268,109.0,471.0,395.0,106.0,1.0,21.0,17.0,39.0,3.0,63.0,33.0,7.0,0.338,0.329,0.667,4.07,3.94,2014.0,10200,内野手,19,37,1977/09/13,180cm,74kg,A型,右右,熊本,False
谷口　雄也,日本ハム,0.268,72.0,175.0,164.0,44.0,2.0,11.0,3.0,9.0,0.0,56.0,2.0,0.0,0.306,0.36,0.666,4.08,3.95,2014.0,590,外野手,4,22,1992/06/01,182cm,87kg,B型,右左,三重,False
鶴岡　賢二郎,DeNA,0.267,24.0,49.0,45.0,12.0,0.0,2.0,0.0,4.0,0.0,10.0,0.0,1.0,0.327,0.267,0.593,3.12,3.06,2014.0,540,捕手,4,27,1987/07/07,178cm,87kg,AB型,右右,埼玉,False
