選手名,チーム,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,year,年俸(万円),守備,年数,年齢,生年月日,身長,体重,血液型,投打,出身地,外国出身
小田　裕也,オリックス,0.326,31.0,97.0,89.0,29.0,2.0,6.0,6.0,4.0,1.0,23.0,3.0,1.0,0.362,0.461,0.822,6.33,5.99,2015.0,1000,外野手,1,26,1989/11/04,172cm,75kg,O型,右左,熊本,False
赤坂　和幸,中日,0.326,35.0,49.0,43.0,14.0,0.0,8.0,2.0,6.0,0.0,8.0,0.0,0.0,0.408,0.372,0.78,7.05,6.68,2015.0,440,外野手,8,26,1989/09/04,185cm,83kg,B型,右右,神奈川,False
上林　誠知,ソフトバンク,0.318,15.0,45.0,44.0,14.0,2.0,6.0,0.0,0.0,1.0,13.0,0.0,0.0,0.333,0.591,0.924,6.38,6.08,2015.0,500,外野手,2,20,1995/08/01,185cm,78kg,O型,右左,埼玉,False
筒香　嘉智,DeNA,0.317,138.0,568.0,496.0,157.0,24.0,93.0,0.0,68.0,2.0,98.0,0.0,5.0,0.4,0.522,0.922,8.00,7.74,2015.0,4600,外野手,6,24,1991/11/26,185cm,97kg,A型,右左,和歌山,False
清田　育宏,ロッテ,0.317,130.0,548.0,489.0,155.0,15.0,67.0,10.0,54.0,3.0,93.0,0.0,11.0,0.387,0.503,0.89,7.10,6.76,2015.0,2700,外野手,6,29,1986/02/11,180cm,85kg,A型,右右,千葉,False
今浪　隆博,ヤクルト,0.317,68.0,139.0,123.0,39.0,2.0,13.0,1.0,12.0,0.0,14.0,3.0,1.0,0.375,0.431,0.806,6.28,6.02,2015.0,1550,内野手,9,31,1984/07/06,172cm,75kg,A型,右左,福岡,False
相川　亮二,巨人,0.313,40.0,114.0,99.0,31.0,4.0,17.0,1.0,12.0,0.0,16.0,2.0,1.0,0.384,0.505,0.889,7.30,7.16,2015.0,6000,捕手,21,39,1976/07/11,182cm,86kg,A型,右右,千葉,False
ムリーロ,楽天,0.313,9.0,37.0,32.0,10.0,0.0,1.0,2.0,5.0,0.0,3.0,0.0,1.0,0.405,0.344,0.749,6.02,5.76,2015.0,1000,内野手,1,33,1982/05/05,190cm,88kg,不明,右右,メキシコ,True
牧田　明久,楽天,0.311,82.0,172.0,151.0,47.0,1.0,14.0,4.0,14.0,3.0,14.0,2.0,7.0,0.376,0.377,0.754,4.71,4.66,2015.0,2900,外野手,15,33,1982/06/03,182cm,78kg,A型,右右,福井,False
ナニータ,中日,0.308,52.0,169.0,156.0,48.0,0.0,15.0,1.0,9.0,2.0,24.0,1.0,4.0,0.351,0.385,0.736,4.92,4.64,2015.0,3540,外野手,1,34,1981/06/12,182cm,93kg,O型,左左,ドミニカ共和国,True
立岡　宗一郎,巨人,0.304,91.0,367.0,339.0,103.0,0.0,14.0,16.0,18.0,4.0,61.0,3.0,2.0,0.343,0.348,0.691,4.66,4.57,2015.0,900,外野手,7,25,1990/05/18,181cm,83kg,A型,右両,熊本,False
西野　真弘,オリックス,0.304,57.0,213.0,191.0,58.0,3.0,22.0,9.0,18.0,2.0,25.0,2.0,0.0,0.37,0.403,0.773,6.12,5.89,2015.0,1000,内野手,1,25,1990/08/02,167cm,68kg,O型,右左,東京都,True
銀次,楽天,0.301,82.0,354.0,316.0,95.0,1.0,36.0,8.0,30.0,1.0,19.0,3.0,5.0,0.359,0.348,0.707,4.84,4.78,2015.0,9000,内野手,10,27,1988/02/24,174cm,78kg,A型,右左,岩手,False
中村　晃,ソフトバンク,0.3,135.0,590.0,506.0,152.0,1.0,39.0,7.0,66.0,6.0,47.0,9.0,7.0,0.386,0.35,0.735,5.37,5.22,2015.0,7700,外野手,8,26,1989/11/05,175cm,84kg,O型,左左,埼玉,False
細谷　圭,ロッテ,0.3,16.0,14.0,10.0,3.0,0.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,0.429,0.3,0.729,7.24,8.20,2015.0,1060,内野手,10,27,1988/01/17,182cm,84kg,B型,右右,群馬,False
岩本　貴裕,広島,0.3,7.0,10.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.4,0.7,4.59,4.17,2015.0,1850,外野手,7,29,1986/04/18,182cm,96kg,A型,左左,広島,False
和田　一浩,中日,0.298,79.0,234.0,218.0,65.0,5.0,26.0,1.0,14.0,2.0,40.0,0.0,9.0,0.346,0.404,0.75,4.69,4.53,2015.0,20000,外野手,19,43,1972/06/19,182cm,90kg,O型,右右,岐阜,False
荒波　翔,DeNA,0.298,70.0,207.0,188.0,56.0,4.0,14.0,4.0,16.0,1.0,26.0,1.0,2.0,0.354,0.463,0.817,5.93,5.68,2015.0,4000,外野手,5,29,1986/01/25,179cm,78kg,A型,右左,神奈川,False
小窪　哲也,広島,0.296,69.0,88.0,71.0,21.0,1.0,15.0,1.0,15.0,0.0,18.0,2.0,2.0,0.419,0.366,0.785,6.07,5.93,2015.0,2400,内野手,8,30,1985/04/12,175cm,80kg,O型,右右,奈良,False
藤井　淳志,中日,0.295,118.0,315.0,275.0,81.0,6.0,45.0,3.0,23.0,2.0,69.0,11.0,4.0,0.349,0.415,0.763,5.24,5.21,2015.0,3000,外野手,10,34,1981/05/20,182cm,81kg,O型,右両,愛知,False
小谷野　栄一,オリックス,0.295,56.0,206.0,183.0,54.0,4.0,22.0,0.0,13.0,3.0,22.0,5.0,7.0,0.348,0.41,0.758,4.64,4.56,2015.0,10000,内野手,13,35,1980/10/10,177cm,94kg,O型,右右,東京都,True
杉谷　拳士,日本ハム,0.295,84.0,192.0,166.0,49.0,1.0,12.0,8.0,9.0,7.0,28.0,9.0,1.0,0.355,0.367,0.723,4.44,4.37,2015.0,1700,内野手,7,24,1991/02/04,173cm,77kg,B型,右両,東京都,True
西浦　直亨,ヤクルト,0.295,26.0,48.0,44.0,13.0,1.0,5.0,1.0,3.0,0.0,12.0,1.0,0.0,0.34,0.477,0.818,6.24,5.90,2015.0,1200,内野手,2,24,1991/04/11,178cm,75kg,B型,右右,奈良,False
脇谷　亮太,西武,0.294,118.0,272.0,235.0,69.0,3.0,22.0,4.0,27.0,1.0,47.0,8.0,3.0,0.367,0.396,0.763,5.37,5.19,2015.0,2400,内野手,10,34,1981/11/04,176cm,77kg,A型,右左,大分,False
小笠原　道大,中日,0.294,53.0,59.0,51.0,15.0,0.0,8.0,0.0,7.0,0.0,10.0,0.0,1.0,0.373,0.353,0.726,5.14,5.07,2015.0,4500,内野手,19,42,1973/10/25,178cm,84kg,A型,右左,千葉,False
鈴木　尚広,巨人,0.294,65.0,22.0,17.0,5.0,1.0,4.0,10.0,2.0,1.0,4.0,2.0,0.0,0.4,0.529,0.929,9.55,9.23,2015.0,5000,外野手,19,37,1978/04/27,180cm,78kg,A型,右両,福島,False
角中　勝也,ロッテ,0.293,111.0,484.0,427.0,125.0,6.0,52.0,8.0,47.0,1.0,52.0,7.0,12.0,0.363,0.405,0.768,5.17,5.01,2015.0,7100,外野手,9,28,1987/05/25,180cm,85kg,A型,右左,石川,False
ルナ,中日,0.292,134.0,564.0,496.0,145.0,8.0,60.0,11.0,57.0,5.0,77.0,0.0,13.0,0.367,0.397,0.764,5.52,5.43,2015.0,20000,内野手,3,35,1980/02/01,187cm,99kg,B型,右右,ドミニカ共和国,True
ロペス,DeNA,0.291,140.0,565.0,516.0,150.0,25.0,73.0,1.0,44.0,2.0,82.0,0.0,14.0,0.347,0.496,0.843,5.96,5.83,2015.0,15000,内野手,3,32,1983/11/24,183cm,103kg,不明,右右,ベネズエラ,True
伊志嶺　翔大,ロッテ,0.291,34.0,109.0,86.0,25.0,0.0,12.0,5.0,10.0,0.0,10.0,11.0,0.0,0.357,0.326,0.683,4.74,4.77,2015.0,2810,外野手,5,27,1988/05/12,179cm,79kg,A型,右右,沖縄,False
宮崎　敏郎,DeNA,0.289,58.0,163.0,152.0,44.0,1.0,10.0,0.0,6.0,4.0,21.0,0.0,5.0,0.331,0.362,0.693,4.09,3.96,2015.0,850,内野手,3,27,1988/12/12,172cm,85kg,B型,右右,佐賀,False
松田　宣浩,ソフトバンク,0.287,143.0,603.0,533.0,153.0,35.0,94.0,8.0,60.0,2.0,135.0,0.0,17.0,0.357,0.533,0.889,6.14,6.23,2015.0,22000,内野手,10,32,1983/05/17,180cm,89kg,B型,右右,滋賀,False
森　友哉,西武,0.287,138.0,531.0,474.0,136.0,17.0,68.0,0.0,44.0,9.0,143.0,0.0,5.0,0.357,0.468,0.825,6.01,5.86,2015.0,1900,捕手,2,20,1995/08/08,170cm,80kg,A型,右左,大阪,False
今江　敏晃,ロッテ,0.287,98.0,400.0,373.0,107.0,1.0,38.0,2.0,16.0,9.0,35.0,0.0,17.0,0.33,0.365,0.695,3.81,3.66,2015.0,20000,内野手,14,32,1983/08/26,180cm,89kg,B型,右右,京都,False
高濱　卓也,ロッテ,0.286,33.0,45.0,42.0,12.0,0.0,4.0,0.0,1.0,0.0,11.0,2.0,0.0,0.302,0.333,0.636,3.64,3.43,2015.0,1160,内野手,8,26,1989/07/06,184cm,84kg,A型,右左,佐賀,False
淺間　大基,日本ハム,0.285,46.0,140.0,130.0,37.0,0.0,10.0,4.0,5.0,0.0,29.0,3.0,2.0,0.307,0.377,0.683,3.94,3.90,2015.0,540,外野手,1,19,1996/06/21,183cm,75kg,B型,右左,東京都,True
田中　賢介,日本ハム,0.284,134.0,596.0,532.0,151.0,4.0,66.0,9.0,57.0,1.0,58.0,5.0,9.0,0.354,0.352,0.705,4.71,4.58,2015.0,15000,内野手,14,34,1981/05/20,176cm,78kg,O型,右左,福岡,False
内川　聖一,ソフトバンク,0.284,136.0,585.0,529.0,150.0,11.0,82.0,1.0,45.0,4.0,55.0,0.0,24.0,0.34,0.395,0.735,4.42,4.41,2015.0,30000,外野手,15,33,1982/08/04,185cm,93kg,B型,右右,大分,False
下園　辰哉,DeNA,0.284,53.0,84.0,74.0,21.0,1.0,8.0,0.0,8.0,0.0,14.0,2.0,2.0,0.354,0.378,0.732,4.68,4.50,2015.0,2300,外野手,9,31,1984/11/22,179cm,81kg,B型,左左,宮崎,False
平田　良介,中日,0.283,130.0,559.0,491.0,139.0,13.0,53.0,11.0,64.0,3.0,86.0,1.0,5.0,0.369,0.43,0.799,5.92,5.74,2015.0,4700,外野手,10,27,1988/03/23,177cm,88kg,B型,右右,大阪,False
今成　亮太,阪神,0.283,93.0,304.0,269.0,76.0,1.0,16.0,1.0,24.0,2.0,78.0,8.0,1.0,0.345,0.32,0.664,4.23,4.17,2015.0,3600,内野手,10,28,1987/10/06,178cm,78kg,O型,右左,埼玉,False
李　大浩,ソフトバンク,0.282,141.0,584.0,510.0,144.0,31.0,98.0,0.0,62.0,9.0,109.0,0.0,17.0,0.368,0.524,0.892,6.53,6.46,2015.0,40000,内野手,4,33,1982/06/21,194cm,130kg,A型,右右,韓国,True
鳥谷　敬,阪神,0.281,143.0,646.0,551.0,155.0,6.0,42.0,9.0,89.0,1.0,77.0,2.0,8.0,0.38,0.367,0.747,5.42,5.34,2015.0,40000,内野手,12,34,1981/06/26,180cm,77kg,B型,右左,東京都,True
福留　孝介,阪神,0.281,140.0,569.0,495.0,139.0,20.0,76.0,1.0,65.0,1.0,75.0,1.0,15.0,0.361,0.463,0.824,5.76,5.78,2015.0,15000,外野手,12,38,1977/04/26,182cm,94kg,B型,右左,鹿児島,False
岩崎　恭平,オリックス,0.281,35.0,113.0,96.0,27.0,4.0,8.0,2.0,8.0,1.0,23.0,8.0,0.0,0.343,0.427,0.77,4.95,4.92,2015.0,1000,内野手,7,29,1986/04/04,178cm,73kg,AB型,右左,神奈川,False
Ｔ−岡田,オリックス,0.28,105.0,416.0,389.0,109.0,11.0,51.0,2.0,17.0,6.0,80.0,0.0,9.0,0.317,0.424,0.741,4.69,4.66,2015.0,8000,外野手,10,27,1988/02/09,186cm,96kg,B型,左左,大阪,False
中村　剛也,西武,0.278,139.0,599.0,521.0,145.0,37.0,124.0,1.0,68.0,7.0,172.0,0.0,12.0,0.367,0.559,0.926,7.13,7.03,2015.0,38000,内野手,14,32,1983/08/15,175cm,102kg,O型,右右,大阪,False
高橋　由伸,巨人,0.278,77.0,158.0,133.0,37.0,5.0,21.0,2.0,20.0,4.0,39.0,0.0,3.0,0.386,0.429,0.815,6.26,6.25,2015.0,16000,外野手,18,40,1975/04/03,180cm,87kg,O型,右左,千葉,False
松山　竜平,広島,0.277,100.0,229.0,202.0,56.0,7.0,26.0,1.0,23.0,1.0,30.0,0.0,8.0,0.349,0.446,0.795,5.15,5.17,2015.0,2300,外野手,8,30,1985/09/18,176cm,95kg,B型,右左,鹿児島,False
大田　泰示,巨人,0.277,60.0,138.0,130.0,36.0,1.0,3.0,3.0,7.0,1.0,39.0,0.0,0.0,0.319,0.354,0.673,4.18,4.03,2015.0,1800,外野手,7,25,1990/06/09,188cm,95kg,O型,右右,広島,False
谷繁　元信,中日,0.277,30.0,52.0,47.0,13.0,1.0,4.0,0.0,3.0,0.0,9.0,2.0,0.0,0.32,0.383,0.703,4.52,4.39,2015.0,9000,捕手,27,45,1970/12/21,176cm,81kg,A型,右右,広島,False
マートン,阪神,0.276,140.0,583.0,544.0,150.0,9.0,59.0,0.0,31.0,3.0,77.0,0.0,21.0,0.316,0.375,0.691,3.79,3.76,2015.0,45600,外野手,6,34,1981/10/03,185cm,99kg,不明,右右,アメリカ,True
西川　遥輝,日本ハム,0.276,125.0,521.0,442.0,122.0,5.0,35.0,30.0,60.0,4.0,98.0,15.0,1.0,0.368,0.391,0.759,5.70,5.50,2015.0,4800,内野手,5,23,1992/04/16,179cm,75kg,A型,右左,和歌山,False
堂上　剛裕,巨人,0.276,59.0,104.0,98.0,27.0,3.0,13.0,0.0,4.0,0.0,20.0,1.0,6.0,0.301,0.48,0.781,4.16,4.05,2015.0,1500,外野手,12,30,1985/05/27,183cm,85kg,O型,右左,愛知,False
梶谷　隆幸,DeNA,0.275,134.0,578.0,520.0,143.0,13.0,66.0,28.0,54.0,0.0,132.0,2.0,4.0,0.342,0.425,0.767,5.28,5.16,2015.0,4600,外野手,9,27,1988/08/28,180cm,83kg,A型,右左,島根,False
新井　貴浩,広島,0.275,125.0,480.0,426.0,117.0,7.0,57.0,3.0,48.0,2.0,73.0,0.0,15.0,0.348,0.385,0.733,4.66,4.61,2015.0,2000,内野手,17,38,1977/01/30,189cm,96kg,B型,右右,広島,False
鈴木　誠也,広島,0.275,97.0,238.0,211.0,58.0,5.0,25.0,6.0,16.0,2.0,38.0,7.0,3.0,0.329,0.403,0.732,4.25,4.31,2015.0,900,内野手,3,21,1994/08/18,181cm,87kg,A型,右右,東京都,True
田中　広輔,広島,0.274,141.0,590.0,543.0,149.0,8.0,45.0,6.0,34.0,7.0,105.0,5.0,8.0,0.325,0.413,0.737,4.61,4.43,2015.0,2200,内野手,2,26,1989/07/03,171cm,81kg,A型,右左,神奈川,False
川島　慶三,ソフトバンク,0.274,77.0,194.0,157.0,43.0,2.0,20.0,7.0,22.0,3.0,29.0,9.0,2.0,0.368,0.401,0.769,5.41,5.45,2015.0,2200,内野手,10,32,1983/10/05,171cm,72kg,A型,右右,長崎,False
狩野　恵輔,阪神,0.274,66.0,93.0,84.0,23.0,3.0,13.0,1.0,4.0,4.0,12.0,0.0,3.0,0.333,0.429,0.762,4.86,4.89,2015.0,900,外野手,15,33,1982/12/17,181cm,79kg,B型,右右,群馬,False
松本　啓二朗,DeNA,0.274,51.0,85.0,73.0,20.0,1.0,7.0,0.0,7.0,0.0,19.0,3.0,2.0,0.329,0.384,0.713,3.99,4.12,2015.0,1350,外野手,7,29,1986/06/24,180cm,80kg,O型,左左,千葉,False
伏見　寅威,オリックス,0.273,20.0,26.0,22.0,6.0,0.0,0.0,0.0,1.0,1.0,6.0,2.0,1.0,0.333,0.318,0.652,3.16,3.01,2015.0,1000,捕手,3,25,1990/05/12,182cm,86kg,AB型,右右,北海道,False
伊東　亮大,楽天,0.273,8.0,23.0,22.0,6.0,2.0,2.0,1.0,0.0,1.0,5.0,0.0,1.0,0.304,0.591,0.895,5.98,5.99,2015.0,800,内野手,1,26,1989/07/27,194cm,92kg,O型,左左,神奈川,False
亀井　善行,巨人,0.272,109.0,432.0,382.0,104.0,6.0,35.0,8.0,40.0,1.0,59.0,3.0,6.0,0.338,0.374,0.712,4.75,4.77,2015.0,6000,外野手,11,33,1982/07/28,178cm,82kg,AB型,右左,奈良,False
福浦　和也,ロッテ,0.272,73.0,199.0,173.0,47.0,2.0,21.0,1.0,20.0,6.0,34.0,0.0,4.0,0.367,0.324,0.691,4.60,4.54,2015.0,4500,内野手,22,40,1975/12/14,183cm,88kg,B型,左左,千葉,False
渡辺　直人,西武,0.272,83.0,188.0,158.0,43.0,0.0,23.0,1.0,14.0,5.0,26.0,10.0,2.0,0.348,0.329,0.677,4.24,4.15,2015.0,5900,内野手,9,35,1980/10/15,173cm,73kg,AB型,右右,茨城,False
ゴメス,阪神,0.271,143.0,601.0,520.0,141.0,17.0,72.0,0.0,72.0,6.0,134.0,0.0,15.0,0.364,0.423,0.787,5.42,5.37,2015.0,20570,内野手,2,31,1984/09/07,188cm,104kg,不明,右右,ドミニカ共和国,True
エルナンデス,中日,0.271,138.0,548.0,498.0,135.0,11.0,58.0,5.0,35.0,0.0,106.0,10.0,13.0,0.317,0.4,0.716,4.18,4.13,2015.0,4720,内野手,2,33,1982/10/30,178cm,87kg,不明,右両,ドミニカ共和国,True
伊藤　光,オリックス,0.271,104.0,290.0,247.0,67.0,1.0,28.0,0.0,29.0,1.0,53.0,11.0,4.0,0.348,0.328,0.676,4.10,4.07,2015.0,7200,捕手,8,26,1989/04/23,180cm,83kg,B型,右右,愛知,False
遠藤　一星,中日,0.271,41.0,165.0,140.0,38.0,4.0,14.0,3.0,11.0,7.0,25.0,4.0,1.0,0.348,0.386,0.734,4.78,4.98,2015.0,1000,内野手,1,26,1989/03/23,182cm,78kg,O型,右左,東京都,True
浅村　栄斗,西武,0.27,141.0,627.0,537.0,145.0,13.0,81.0,12.0,69.0,12.0,136.0,2.0,13.0,0.362,0.385,0.747,4.91,5.00,2015.0,7800,内野手,7,25,1990/11/12,182cm,90kg,O型,右右,大阪,False
雄平,ヤクルト,0.27,141.0,585.0,551.0,149.0,8.0,60.0,7.0,27.0,3.0,82.0,1.0,7.0,0.307,0.388,0.695,4.21,4.10,2015.0,6000,外野手,13,31,1984/06/25,174cm,83kg,A型,左左,神奈川,False
藤田　一也,楽天,0.27,111.0,451.0,392.0,106.0,5.0,43.0,8.0,28.0,8.0,30.0,16.0,3.0,0.326,0.349,0.676,4.21,4.29,2015.0,11000,内野手,11,33,1982/07/03,175cm,75kg,O型,右左,徳島,False
坂本　勇人,巨人,0.269,130.0,558.0,479.0,129.0,12.0,68.0,10.0,65.0,0.0,79.0,9.0,5.0,0.353,0.401,0.754,5.27,5.27,2015.0,22000,内野手,9,27,1988/12/14,186cm,83kg,AB型,右右,兵庫,False
亀澤　恭平,中日,0.269,107.0,376.0,331.0,89.0,0.0,12.0,9.0,15.0,2.0,44.0,27.0,3.0,0.304,0.299,0.603,2.90,2.88,2015.0,440,内野手,4,27,1988/10/15,174cm,74kg,B型,右左,岡山,False
荻野　貴司,ロッテ,0.269,82.0,309.0,279.0,75.0,2.0,13.0,18.0,16.0,4.0,38.0,9.0,5.0,0.317,0.337,0.654,3.81,3.75,2015.0,2730,外野手,6,30,1985/10/21,172cm,75kg,O型,右右,奈良,False
木村　昇吾,広島,0.269,72.0,109.0,93.0,25.0,0.0,8.0,2.0,5.0,0.0,22.0,8.0,1.0,0.297,0.355,0.652,3.66,3.81,2015.0,4100,内野手,13,35,1980/04/16,182cm,78kg,A型,右左,大阪,False
栗山　巧,西武,0.268,142.0,622.0,533.0,143.0,10.0,42.0,3.0,72.0,5.0,88.0,8.0,15.0,0.358,0.371,0.73,4.75,4.73,2015.0,24000,外野手,14,32,1983/09/03,177cm,85kg,O型,右左,兵庫,False
畠山　和洋,ヤクルト,0.268,137.0,584.0,512.0,137.0,26.0,105.0,0.0,62.0,2.0,92.0,0.0,10.0,0.344,0.471,0.815,5.76,5.85,2015.0,9000,内野手,15,33,1982/09/13,180cm,96kg,O型,右右,岩手,False
ペーニャ,楽天,0.268,125.0,492.0,406.0,109.0,17.0,40.0,1.0,70.0,16.0,111.0,0.0,5.0,0.396,0.448,0.845,6.68,6.59,2015.0,7000,内野手,4,33,1982/01/23,191cm,118kg,不明,右右,ドミニカ共和国,True
ヘルマン,オリックス,0.267,73.0,245.0,221.0,59.0,1.0,15.0,17.0,24.0,0.0,40.0,0.0,7.0,0.339,0.326,0.665,4.19,4.08,2015.0,10000,内野手,4,37,1978/01/26,175cm,88kg,不明,右右,ドミニカ共和国,True
竹原　直隆,オリックス,0.267,41.0,88.0,75.0,20.0,2.0,13.0,0.0,12.0,1.0,14.0,0.0,2.0,0.375,0.453,0.828,6.08,5.81,2015.0,1450,外野手,11,35,1980/04/21,183cm,93kg,O型,左右,岡山,False
中島　卓也,日本ハム,0.264,143.0,617.0,515.0,136.0,0.0,39.0,34.0,66.0,2.0,93.0,34.0,10.0,0.35,0.287,0.637,3.86,3.81,2015.0,4000,内野手,7,24,1991/01/11,176cm,70kg,A型,右左,福岡,False
中田　翔,日本ハム,0.263,143.0,611.0,539.0,142.0,30.0,102.0,1.0,64.0,1.0,120.0,0.0,11.0,0.339,0.479,0.817,5.70,5.77,2015.0,20000,内野手,8,26,1989/04/22,183cm,100kg,O型,右右,広島,False
鈴木　大地,ロッテ,0.263,142.0,564.0,487.0,128.0,6.0,50.0,1.0,47.0,3.0,58.0,24.0,10.0,0.33,0.366,0.695,3.97,3.92,2015.0,7000,内野手,4,26,1989/08/18,175cm,79kg,O型,右左,静岡,False
明石　健志,ソフトバンク,0.263,115.0,394.0,342.0,90.0,3.0,30.0,11.0,31.0,5.0,64.0,12.0,4.0,0.33,0.342,0.672,4.05,4.08,2015.0,4500,内野手,12,29,1986/01/09,175cm,68kg,B型,右左,北海道,False
上田　剛史,ヤクルト,0.263,82.0,238.0,209.0,55.0,1.0,19.0,8.0,14.0,2.0,29.0,11.0,5.0,0.313,0.306,0.619,3.34,3.40,2015.0,2400,外野手,9,27,1988/10/02,180cm,73kg,B型,右左,岡山,False
岩崎　達郎,楽天,0.263,44.0,42.0,38.0,10.0,0.0,6.0,0.0,2.0,0.0,12.0,2.0,0.0,0.3,0.289,0.589,3.10,3.02,2015.0,1900,内野手,9,31,1984/12/28,175cm,75kg,O型,右右,神奈川,False
糸井　嘉男,オリックス,0.262,132.0,565.0,484.0,127.0,17.0,68.0,11.0,72.0,8.0,78.0,0.0,10.0,0.366,0.413,0.78,5.57,5.51,2015.0,35000,外野手,12,34,1981/07/31,187cm,88kg,A型,右左,京都,False
森野　将彦,中日,0.262,82.0,252.0,206.0,54.0,0.0,10.0,2.0,37.0,3.0,38.0,3.0,0.0,0.378,0.301,0.678,5.03,5.11,2015.0,17500,内野手,19,37,1978/07/28,180cm,85kg,AB型,右左,神奈川,False
西岡　剛,阪神,0.262,50.0,196.0,172.0,45.0,2.0,14.0,1.0,22.0,1.0,21.0,0.0,5.0,0.347,0.343,0.69,3.99,3.99,2015.0,18000,内野手,11,31,1984/07/27,182cm,88kg,A型,右両,大阪,False
平野　恵一,オリックス,0.262,29.0,123.0,107.0,28.0,0.0,5.0,1.0,11.0,1.0,11.0,3.0,1.0,0.333,0.299,0.632,3.87,3.85,2015.0,13500,内野手,14,36,1979/04/07,169cm,67kg,B型,右左,神奈川,False
坂口　智隆,オリックス,0.262,36.0,121.0,107.0,28.0,1.0,5.0,1.0,12.0,0.0,18.0,1.0,1.0,0.333,0.355,0.688,4.51,4.46,2015.0,7500,外野手,13,31,1984/07/07,180cm,76kg,O型,右左,兵庫,False
関本　賢太郎,阪神,0.262,55.0,54.0,42.0,11.0,0.0,10.0,1.0,8.0,3.0,10.0,0.0,1.0,0.407,0.262,0.669,5.04,5.36,2015.0,6000,内野手,19,37,1978/08/26,186cm,96kg,O型,右右,奈良,False
堂林　翔太,広島,0.261,33.0,73.0,69.0,18.0,0.0,3.0,1.0,3.0,0.0,16.0,1.0,1.0,0.292,0.29,0.582,2.93,2.85,2015.0,2000,内野手,6,24,1991/08/17,183cm,83kg,A型,右右,愛知,False
大島　洋平,中日,0.26,142.0,620.0,565.0,147.0,6.0,27.0,22.0,39.0,5.0,65.0,10.0,5.0,0.313,0.342,0.655,3.89,3.83,2015.0,7400,外野手,6,30,1985/11/09,176cm,74kg,A型,左左,愛知,False
